,TCGA.4T.AA8H.01,TCGA.4T.AA8H.01,TCGA.5M.AATA.01,TCGA.5M.AATA.01,TCGA.A6.2675.01,TCGA.A6.2675.01,TCGA.A6.2682.01,TCGA.A6.2682.01,TCGA.A6.5656.01,TCGA.A6.5656.01,TCGA.A6.5661.01,TCGA.A6.5661.01,TCGA.A6.5662.01,TCGA.A6.5662.01,TCGA.A6.5664.01,TCGA.A6.5664.01,TCGA.A6.5666.01,TCGA.A6.5666.01,TCGA.A6.5667.01,TCGA.A6.5667.01,TCGA.A6.6141.01,TCGA.A6.6141.01,TCGA.A6.6654.01,TCGA.A6.6654.01,TCGA.A6.6781.01,TCGA.A6.6781.01,TCGA.A6.6782.01,TCGA.A6.6782.01,TCGA.A6.A565.01,TCGA.A6.A565.01,TCGA.A6.A567.01,TCGA.A6.A567.01,TCGA.A6.A56B.01,TCGA.A6.A56B.01,TCGA.A6.A5ZU.01,TCGA.A6.A5ZU.01,TCGA.AA.3509.01,TCGA.AA.3509.01,TCGA.AA.A02Y.01,TCGA.AA.A02Y.01,TCGA.AD.6889.01,TCGA.AD.6889.01,TCGA.AD.6895.01,TCGA.AD.6895.01,TCGA.AD.6963.01,TCGA.AD.6963.01,TCGA.AD.6964.01,TCGA.AD.6964.01,TCGA.AD.A5EK.01,TCGA.AD.A5EK.01,TCGA.AM.5820.01,TCGA.AM.5820.01,TCGA.AM.5821.01,TCGA.AM.5821.01,TCGA.AU.3779.01,TCGA.AU.3779.01,TCGA.AY.A71X.01,TCGA.AY.A71X.01,TCGA.AZ.4616.01,TCGA.AZ.4616.01,TCGA.AZ.6599.01,TCGA.AZ.6599.01,TCGA.AZ.6603.01,TCGA.AZ.6603.01,TCGA.AZ.6606.01,TCGA.AZ.6606.01,TCGA.AZ.6608.01,TCGA.AZ.6608.01,TCGA.CA.5797.01,TCGA.CA.5797.01,TCGA.CA.6719.01,TCGA.CA.6719.01,TCGA.CK.4951.01,TCGA.CK.4951.01,TCGA.CK.4952.01,TCGA.CK.4952.01,TCGA.CK.5913.01,TCGA.CK.5913.01,TCGA.CK.5914.01,TCGA.CK.5914.01,TCGA.CK.5915.01,TCGA.CK.5915.01,TCGA.CK.5916.01,TCGA.CK.5916.01,TCGA.CK.6746.01,TCGA.CK.6746.01,TCGA.CM.4751.01,TCGA.CM.4751.01,TCGA.CM.5348.01,TCGA.CM.5348.01,TCGA.CM.5860.01,TCGA.CM.5860.01,TCGA.CM.5862.01,TCGA.CM.5862.01,TCGA.CM.5863.01,TCGA.CM.5863.01,TCGA.CM.5868.01,TCGA.CM.5868.01,TCGA.CM.6161.01,TCGA.CM.6161.01,TCGA.CM.6162.01,TCGA.CM.6162.01,TCGA.CM.6163.01,TCGA.CM.6163.01,TCGA.CM.6164.01,TCGA.CM.6164.01,TCGA.CM.6167.01,TCGA.CM.6167.01,TCGA.CM.6171.01,TCGA.CM.6171.01,TCGA.CM.6677.01,TCGA.CM.6677.01,TCGA.CM.6680.01,TCGA.CM.6680.01,TCGA.D5.5539.01,TCGA.D5.5539.01,TCGA.D5.5540.01,TCGA.D5.5540.01,TCGA.D5.5541.01,TCGA.D5.5541.01,TCGA.D5.6530.01,TCGA.D5.6530.01,TCGA.D5.6533.01,TCGA.D5.6533.01,TCGA.D5.6534.01,TCGA.D5.6534.01,TCGA.D5.6898.01,TCGA.D5.6898.01,TCGA.D5.6920.01,TCGA.D5.6920.01,TCGA.D5.6928.01,TCGA.D5.6928.01,TCGA.DM.A0XF.01,TCGA.DM.A0XF.01,TCGA.DM.A1D0.01,TCGA.DM.A1D0.01,TCGA.DM.A1D8.01,TCGA.DM.A1D8.01,TCGA.DM.A1DB.01,TCGA.DM.A1DB.01,TCGA.DM.A1HB.01,TCGA.DM.A1HB.01,TCGA.DM.A280.01,TCGA.DM.A280.01,TCGA.DM.A288.01,TCGA.DM.A288.01,TCGA.DM.A28A.01,TCGA.DM.A28A.01,TCGA.DM.A28E.01,TCGA.DM.A28E.01,TCGA.DM.A28K.01,TCGA.DM.A28K.01,TCGA.DM.A28M.01,TCGA.DM.A28M.01,TCGA.F4.6459.01,TCGA.F4.6459.01,TCGA.F4.6460.01,TCGA.F4.6460.01,TCGA.F4.6463.01,TCGA.F4.6463.01,TCGA.F4.6569.01,TCGA.F4.6569.01,TCGA.F4.6808.01,TCGA.F4.6808.01,TCGA.F4.6854.01,TCGA.F4.6854.01,TCGA.F4.6855.01,TCGA.F4.6855.01,TCGA.F4.6856.01,TCGA.F4.6856.01,TCGA.G4.6293.01,TCGA.G4.6293.01,TCGA.G4.6295.01,TCGA.G4.6295.01,TCGA.G4.6298.01,TCGA.G4.6298.01,TCGA.G4.6299.01,TCGA.G4.6299.01,TCGA.G4.6302.01,TCGA.G4.6302.01,TCGA.G4.6303.01,TCGA.G4.6303.01,TCGA.G4.6304.01,TCGA.G4.6304.01,TCGA.G4.6307.01,TCGA.G4.6307.01,TCGA.G4.6315.01,TCGA.G4.6315.01,TCGA.G4.6322.01,TCGA.G4.6322.01,TCGA.G4.6586.01,TCGA.G4.6586.01,TCGA.NH.A50V.01,TCGA.NH.A50V.01,TCGA.NH.A6GB.01,TCGA.NH.A6GB.01,TCGA.NH.A6GC.01,TCGA.NH.A6GC.01,TCGA.QG.A5YV.01,TCGA.QG.A5YV.01
MET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.219898866,0,0,0,0,0,0,1,0.579461568,1,0.224913481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.581878695,1,0.083765124,0,0,0,0,0,0,0,0,1,0.536369561,0,0,0,0,1,0.152124141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.228181814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.117263447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.349569933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDH6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITGB6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.660363399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROR1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
CD38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LY75,1,0.052803692,0,0,1,0.079949678,0,0,1,0.726815918,0,0,1,0.771634358,1,0.066756637,1,0.020535063,1,0.608029093,0,0,0,0,0,0,1,0.02815563,0,0,1,0.671408,1,0.348614064,1,0.630770864,1,0.615290318,0,0,0,0,0,0,1,0.284680518,0,0,1,0.115094114,1,0.267065445,0,0,1,0.739966606,0,0,0,0,0,0,1,0.339364858,1,0.495909737,0,0,1,0,1,0.238192381,0,0,0,0,1,0.424002498,1,0.541671946,1,0.641339385,1,0.304548716,1,0.637901378,0,0,0,0,1,0.234003998,1,0.202586133,0,0,0,0,1,1,0,0,1,0.640915478,1,0.536093471,0,0,0,0,0,0,1,0.310824939,0,0,0,0,1,0.72884563,1,0.112233681,1,0.727056582,1,0.07596655,1,0.274523873,1,0.086657919,1,0.366608438,1,0.007122035,1,0.108312262,0,0,1,0.074260156,0,0,0,0,1,0.203411007,1,0.252628487,1,0.369236026,0,0,0,0,1,0.257479992,1,0.40624155,0,0,0,0,0,0,1,0.731483133,1,0.345685534,0,0,1,0.322135678,1,0.073553753,1,0.149972404,0,0,0,0,1,0.919288286,0,0,0,0,1,0.403884988,0,0,0,0,0,0,1,0.245895745,0,0,1,0.057085536
SEZ6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFRC,1,0.442960252,1,0.342187929,1,0.146537808,1,0.501555285,1,0.06760108,1,0.010844199,1,0.228050599,1,0.200191539,1,0.718764907,1,0.423941558,1,0.200684813,1,0.245680533,1,0.077499736,1,0.099508099,1,0.008735804,1,0.098923775,1,0.165873592,1,0.016590485,1,0.474820807,0,0,1,0.320567644,1,0.188485929,1,0.226318903,0,0,1,0.055881068,1,0.605946206,1,0.387444857,1,0.121618654,0,0,1,0.018946991,0,0,1,0.414656215,1,0.351992874,1,0.57996017,1,0.047562706,1,0.22013157,1,0.213839599,1,0.48739656,1,0.600029562,1,0.185919476,1,0.501599486,1,0.599813296,1,0.627468854,1,0.238443329,1,0,1,0.567737982,0,0,1,0.153343386,1,0.270161612,1,0.586739586,1,0.368529643,1,0.0463272,1,0.300202527,1,0.055904032,1,0.28916347,1,0.394650117,1,0.20930332,1,0.195432013,1,0.210136264,1,0.395002155,1,0.024202058,1,0.623459474,0,0,1,0.501988722,1,0.316231919,0,0,1,0.25123777,1,0.155906479,0,0,1,0.170259985,1,0.605461859,1,0.271523325,1,0.590026317,1,0.411080452,1,0.23833181,0,0,0,0,1,0.019449729,1,0.114099042,1,0.155635522,1,0.132081704,0,0,1,0.198610781,0,0,1,0.527163636,1,0.288796043,1,0.60065452,1,0.128331454,1,0.067763406,1,0.068512677,1,0.608853561,1,0.408133483,0,0,1,0.654669685,1,0.046746069,1,0.183309718,1,0.281326632,1,0.346725273,0,0,1,0.270473425
CDH17,1,0.513772769,1,0.33882987,1,0.511392256,1,0.686193342,1,0.591740132,1,0.059479365,1,1,1,0.259422398,1,0.846328695,1,0.970859718,1,0.303828589,1,0.086141387,1,0.027224837,1,0.180536271,1,0.675053168,1,0.512492563,1,0.162999475,1,0.684736868,1,0.840947187,1,0.162986862,1,0.275442763,1,0.146460527,1,0.277676772,1,0,1,0.140750277,1,0.978107287,1,0,1,0.545540988,1,0.558685548,1,0.061260271,1,0.645799608,1,0.518914559,1,0.513214166,1,0.41575472,1,0.559750623,1,0.341137515,1,0.15396988,1,0.751333089,1,0.63870361,1,0.310218497,1,0.937191615,1,0.6505125,1,0,1,0.753293751,1,0.205863135,1,0.69124199,1,0.967501945,1,0.759601872,1,0.025509754,1,0.96886041,1,0.272298791,1,0.722949077,1,0.757821489,1,0.059399345,1,0.83748576,1,0.183656019,1,0.158449549,1,0.150953311,1,0.349634818,1,0.905648705,1,0.161541477,1,0.83459841,1,0.17517982,1,0.828189902,1,0.751804226,1,0,1,0.33905343,1,0.743735558,1,0.065316383,1,0.212394791,1,0.201971329,1,0.340760594,1,0.847940055,1,0.399336887,1,0.870818193,1,0.065428589,1,0.165583571,1,1,1,0.304247022,1,0.746958584,1,0.210283718,1,0.420585267,1,0.392014126,1,0.277430409,1,0.519320356,1,0.44357292,1,0.830736732,1,0.161401406,1,0,1,0.071218431,1,0.972089324,1,0.146901072,1,0.694379231,1,0.968314049,1,0.161378797,1,0.308707891,1,0.061939253,1,0.279884437,1,0.282065322,1,0.399631184
FOLH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.02260487,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSLN,1,0.372166653,0,0,0,0,0,0,0,0,0,0,1,0.253681531,0,0,1,0.039891724,0,0,1,0,0,0,1,0.136952018,0,0,0,0,1,0.018787339,0,0,1,0.075447381,1,0,0,0,0,0,1,0.277639513,1,0.024493148,1,0.045693516,0,0,1,0,1,0.018169815,0,0,1,0.259466781,1,0.017977649,1,0.014878634,0,0,1,0.213249584,1,0.023743001,0,0,1,0.137614077,0,0,1,0.022471565,0,0,0,0,0,0,1,0.007423815,0,0,1,0.414011989,1,0.054389874,1,0.019257236,0,0,1,0.282433719,0,0,0,0,0,0,0,0,0,0,1,0.02441702,0,0,0,0,0,0,1,0.048812085,0,0,0,0,1,0.138312731,0,0,1,0.161861066,0,0,0,0,1,0.144515358,1,0.144130118,1,0.275725217,0,0,0,0,1,0.142275266,1,0.375370739,0,0,0,0,0,0,1,0.213019038,0,0,0,0,0,0,0,0,1,0.139466224,0,0,1,0.039884968,0,0,1,0.014471049,1,0.154611229,0,0,1,0.002429195,1,0.083358225,1,0.239443201,1,0.052518035,0,0,1,0,0,0,0,0,0,0,0,0,1,0.044714515,1,0,0,0
CD276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.629820994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.181050249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.406059151,1,0.676687344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.033085036,1,0.345593576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM5,1,0.944765463,1,0.852026979,1,0.990397549,1,0.959245762,1,0.786939294,1,0.752792461,1,0.945439811,1,0.914195462,1,0.920727615,1,0.995756531,1,0.881760579,1,0.923954389,1,0.523233746,1,0.961517444,1,0.973600081,1,0.914216711,1,0.860176466,1,0.723179158,1,0.733845703,1,0.917377559,1,0.85224723,1,0.939802008,1,0.923414943,1,0.772323469,1,0.88089037,1,0.826095074,1,0.709382897,1,0.973148664,1,0.939756014,1,0.736942729,1,0.991679349,1,0.993840571,1,0.853288735,1,0.905025985,1,0.979207025,1,0.990768831,1,0.918314035,1,0.774942632,1,0.992363812,1,0.933516932,1,1,1,0.99316306,1,0.149797565,1,0.86826525,1,0.934910284,1,0.934658563,1,0.328682082,1,0.989547243,1,0.914242764,1,0.783019143,1,0.939755701,1,0.979270294,1,0.994217217,1,0.841992408,1,0.741462227,1,0.974327527,1,0.92383927,1,0.958300446,1,0.483305227,1,0.932999096,1,0.797005332,1,0.992968535,1,0.76499444,1,0.973591632,1,0.995216443,1,0.516233882,1,0.864539032,1,0.915447132,1,0.768333552,1,0.787356217,1,0.780780687,1,0.774331935,1,0.88332366,1,0.969126276,1,0.986002235,1,0.77449877,1,0.878949334,1,0.992743109,1,0.510725302,1,0.852793147,1,0.805220079,1,0.892960141,1,0.955246238,1,0.889286996,1,0.938970329,1,0.949549336,1,0.836852567,1,0.905413392,1,0.590819156,1,0.853036587,1,0.983841383,1,0.571592528,1,0.950958937,1,0.991246898,1,0.987797066,1,0.778436655,1,0.974489311,1,0.84105854,1,0.933605739,1,0.972517235
PTK7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.440581959,0,0,1,0.646090825,0,0,0,0,1,0.479023798,0,0,0,0,0,0,1,0.385855268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.028239595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.754218127,1,0.383545031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.550803717,1,0.344253521,1,0.112802797,0,0,0,0,0,0,0,0,0,0,1,0.846917126,1,0.546942354,0,0,0,0,0,0,0,0,1,0.093591569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD46,0,0,0,0,0,0,1,0.205473773,0,0,0,0,1,1,0,0,1,0.987832903,0,0,0,0,1,0.524428827,0,0,0,0,0,0,1,0.727980428,1,0.779218116,0,0,1,0.977058065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.71528549,0,0,0,0,0,0,0,0,0,0,1,0.735978167,0,0,0,0,0,0,0,0,0,0,0,0,1,0.569611811,1,0.989734768,1,0.374895531,0,0,0,0,0,0,0,0,1,0.731520579,0,0,0,0,1,0.562469958,0,0,0,0,1,0.542016722,0,0,0,0,0,0,1,0.277007069,0,0,1,1,0,0,0,0,1,0.668256358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.164665858,1,0.720019711,0,0,0,0,0,0,1,0.793591624,0,0,1,0.223321741,0,0,0,0,1,0.604819529,1,0.679755712,0,0,0,0,1,0.358130374,1,0.694357972,0,0,0,0,1,0.868722022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.700343195
EPCAM,1,0.07309259,1,0.082152027,1,0.471541166,1,0.350363121,1,0,0,0,1,0.875335198,1,0.072219213,1,0.953263678,1,0.874946852,1,0.167709377,1,0.032684761,0,0,1,0.077751775,1,0.59821428,1,0.521920012,1,0.075251175,1,0.246273695,1,0.249519866,1,0.07797354,1,0.956767568,1,0.471017648,1,0.510995616,1,0.077339071,1,0.751289346,1,0.654728022,1,0.068555941,1,0.891969777,1,0.689163798,1,0.473282184,1,0.258967428,1,0.505776629,1,0.158710738,1,0.24633198,1,0.751111844,1,0.253790846,1,0.16460309,1,0.166081077,1,0.672938649,1,0.963588026,1,0.753255453,1,0.572864554,1,0.025044369,1,0.314032759,1,0.023984696,1,0.339424697,1,0.870265967,1,0.233416428,1,0.870142771,1,0.817145543,1,0.395197024,1,0.355620507,1,0.887544892,1,0.077748721,1,0.769311741,1,0.391669669,1,0.394925293,1,0.092627644,1,0.312907339,1,0.988666049,1,0.075135676,1,0.630243275,1,0.084804242,1,0.751123627,1,0.729120327,1,0,1,0.630439181,1,0.467343936,1,0.085416957,1,0.516016366,1,0.184994946,1,0.746627504,1,0.75078701,1,0.51849333,1,0.622188037,1,0.073711431,1,0.083367947,1,0.749333287,1,0.191377325,1,0.316273982,1,0.210279642,1,0.451789597,1,0.256789812,1,0.408737595,1,0.624852828,1,0.40256229,1,0.318786112,1,0.135689017,1,0.032902198,1,0,1,0.31670555,1,0.745263292,1,0.440842555,1,0.755376654,1,0.738428818,1,0.160708995,0,0,1,0.116280242,1,0.254780588,1,0.751756743
CD70,0,0,0,0,1,0.075405304,1,0.076359897,0,0,0,0,1,0.002789341,1,0.074481411,0,0,1,0.009112022,0,0,1,0.107741086,1,0.005792364,0,0,0,0,0,0,1,0.027249323,1,0.039717684,1,0.071264224,1,0,1,0.009851077,1,0.028420598,0,0,1,0.107223559,0,0,0,0,1,0.122476099,1,0.008435823,0,0,1,0.032831945,0,0,1,0,0,0,0,0,0,0,1,0.029162048,1,0.075249184,0,0,1,0.075845921,1,0.002777811,0,0,1,0.003284517,1,0.073896351,1,0.009873639,1,0.002398329,1,0.032997242,1,0.021804975,0,0,1,0.07185539,0,0,1,0.00288006,1,0.007899725,0,0,0,0,0,0,1,0.003197105,1,0.029102903,1,0.009506175,1,0.002228946,0,0,1,0.037666494,0,0,1,0.092864803,1,0.082122291,1,0.003271141,1,0.148487221,1,0.134029298,0,0,0,0,0,0,1,0,0,0,0,0,1,0.066246818,0,0,0,0,0,0,0,0,1,0,0,0,1,0.269733259,0,0,1,0.003240602,1,0.091166566,1,0.026264804,1,0.01870489,1,0.002985056,0,0,1,0.12377815,1,0.142627954,1,0.009748272,1,0.081270306,0,0,0,0,1,0.009346329,1,0.065901729,1,0.007628135,1,0.008307646,0,0,0,0
VTCN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC39A6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.062839358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPHA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGFR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
